Time,Flight,Destination,Airline,Aircraft2,Cpassengers,Cweight,Cvolume
05:50,KL1276,Amsterdam (AMS),KLM,B738,162,2754,18.8
06:00,FR2376,Berlin (SXF),Ryanair,737,162,2754,18.8
06:05,AF1887,Paris (CDG),Air France,A320,150,2550,17.4
06:05,SN2066,Brussels (BRU),Brussels Airlines,A319,150,2550,17.4
06:10,BA2507,London (LGW),British Airways,A320,150,2550,17.4
06:15,BE2101,London (LHR),Flybe,DH4,70,1190,8.1
06:20,U2802,London (LGW),easyJet,A320,150,2550,17.4
06:20,FR6266,Barcelona (BCN),Ryanair,737,162,2754,18.8
06:25,BE290,Manchester (MAN),Flybe,DH4,70,1190,8.1
06:25,FR6652,Malaga (AGP),Ryanair,737,162,2754,18.8
06:30,U26903,Geneva (GVA),easyJet,A320,150,2550,17.4
06:30,FR6681,Rome (CIA),Ryanair,737,162,2754,18.8
06:40,FR6621,Tenerife (TFS),Ryanair,737,162,2754,18.8
06:45,U26939,Krakow (KRK),easyJet,A319,150,2550,17.4
06:50,BE1331,London (LCY),Flybe,E90,95,1615,11
06:50,LM361,East Midlands (EMA),Loganair,ER4,44,748,5.1
06:50,FR2354,Luxembourg (LUX),Ryanair,737,162,2754,18.8
06:55,U26961,Prague (PRG),easyJet,A320,150,2550,17.4
07:00,BA1435,London (LHR),British Airways,A21N,244,4148,28.3
07:00,U26953,Paris (CDG),easyJet,A319,150,2550,17.4
07:00,U212,London (LTN),easyJet,A320,150,2550,17.4
07:00,U26931,Hamburg (HAM),easyJet,A320,150,2550,17.4
07:00,BE841,Birmingham (BHX),Flybe,DH4,70,1190,8.1
07:05,BA8711,London (LCY),British Airways,E90,95,1615,11
07:15,FR5579,Alicante (ALC),Ryanair,737,162,2754,18.8
07:20,BE4501,Cardiff (CWL),Flybe,DH4,70,1190,8.1
07:30,U26993,Madrid (MAD),easyJet,A319,150,2550,17.4
07:35,BA8705,London (LCY),British Airways,E190,100,1700,11.6
07:50,QR32,Doha (DOH),Qatar Airways,A359,369,6273,42.8
08:00,LM351,Sumburgh (LSI),Loganair,SF3,30,510,3.5
08:10,FR813,Dublin (DUB),Ryanair,737,162,2754,18.8
08:20,EI3251,Dublin (DUB),Aer Lingus,AT7,78,1326,9
08:25,U26925,Amsterdam (AMS),easyJet,A319,150,2550,17.4
08:45,BA1439,London (LHR),British Airways,A21N,244,4148,28.3
08:45,BA8703,London (LCY),British Airways,E190,100,1700,11.6
08:45,U2422,Bristol (BRS),easyJet,A320,150,2550,17.4
08:45,BE2103,London (LHR),Flybe,DH4,70,1190,8.1
08:50,EI3675,Shannon (SNN),Aer Lingus,AT7,78,1326,9
09:10,FR5840,Milan (BGY),Ryanair,737,162,2754,18.8
09:10,UA37,New York (EWR),United Airlines,B752,250,4250,29
09:20,LM391,Kirkwall (KOI),Loganair,SF3,30,510,3.5
09:25,U22684,Milan (MXP),easyJet,A320,150,2550,17.4
09:30,EI3551,Dublin (DUB),Aer Lingus,AT7,78,1326,9
09:30,LS745,Fuerteventura (FUE),Jet2,737,162,2754,18.8
09:30,LS775,Alicante (ALC),Jet2,737,162,2754,18.8
09:35,FR6618,Poznan (POZ),Ryanair,737,162,2754,18.8
09:50,AY1372,Helsinki (HEL),Finnair,E190,100,1700,11.6
10:00,LS715,Gran Canaria (LPA),Jet2,737,162,2754,18.8
10:05,8H5596,Burgas (BOJ),BH Air,A320,150,2550,17.4
10:25,BA1441,London (LHR),British Airways,A319,150,2550,17.4
10:25,U2482,Belfast (BFS),easyJet,A320,150,2550,17.4
10:25,BY1576,Tenerife (TFS),TUI Airways,737,162,2754,18.8
10:30,BE683,Belfast (BHD),Flybe,DH4,70,1190,8.1
10:35,DL209,New York (JFK),Delta Air Lines,B752,250,4250,29
10:35,LS857,Malaga (AGP),Jet2,737,162,2754,18.8
10:40,U26911,Munich (MUC),easyJet,A320,150,2550,17.4
10:40,LS727,Tenerife (TFS),Jet2,737,162,2754,18.8
10:50,LM385,Stavanger (SVG),Loganair,ER4,44,748,5.1
10:55,KL1280,Amsterdam (AMS),KLM,E190,100,1700,11.6
11:10,BE845,Birmingham (BHX),Flybe,DH4,70,1190,8.1
11:10,DY1641,Oslo (OSL),Norwegian,737,162,2754,18.8
11:15,BE765,Southampton (SOU),Flybe,E90,95,1615,11
11:15,LM335,Wick (WIC),Loganair,SF3,30,510,3.5
11:20,BE655,Knock (NOC),Flybe,DH4,70,1190,8.1
11:30,AF1687,Paris (CDG),Air France,A320,150,2550,17.4
11:30,BA1445,London (LHR),British Airways,A321,180,3060,20.9
11:30,BE211,Exeter (EXT),Flybe,DH4,70,1190,8.1
11:30,FR7921,Gdansk (GDN),Ryanair,737,162,2754,18.8
11:30,FR3182,Londonderry (LDY),Ryanair,737,162,2754,18.8
11:45,EI3253,Dublin (DUB),Aer Lingus,AT7,78,1326,9
11:50,U2232,London (STN),easyJet,A320,150,2550,17.4
12:00,BE2105,London (LHR),Flybe,DH4,70,1190,8.1
12:05,U2424,Bristol (BRS),easyJet,A320,150,2550,17.4
12:25,SK2542,Stockholm (ARN),SAS,A319,150,2550,17.4
